table_name,column_name,data_type
business:advertisments,id,bigint
business:advertisments,created_at,timestamp with time zone
business:advertisments,user input,text
business:advertisments,user_id,text
business:advertisments,ad_spend,numeric
business:advertisments,revenue_generated,numeric
business:advertisments,platform,text
business:advertisments,campaign_type,text
business:advertisments,impressions,integer
business:advertisments,clicks,integer
business:advertisments,conversions,integer
business:advertisments,roi_percentage,numeric
business:advertisments,hours_spent_optimizing,numeric
business:advertisments,confidence_level,numeric
business:advertisments,emotional_signals,text
business:advertisments,roas_reported,numeric
business:agency,id,bigint
business:agency,created_at,timestamp with time zone
business:agency,user input,text
business:agency,user_id,text
business:agency,service_type,text
business:agency,client_count,integer
business:agency,active_projects,integer
business:agency,average_project_value,numeric
business:agency,project_completion_rate,numeric
business:agency,client_retention_rate,numeric
business:agency,referral_rate,numeric
business:agency,capacity_utilization,numeric
business:agency,profit_margin_percentage,numeric
business:agency,payment_terms_days,integer
business:agency,outstanding_invoices_amount,numeric
business:agency,scope_creep_frequency,integer
business:agency,client_satisfaction_score,numeric
business:agency,team_productivity_score,integer
business:agency,subcontractor_percentage,numeric
business:agency,niche_specialization,text
business:agency,pricing_model,text
business:agency,confidence_level,numeric
business:agency,emotional_signals,text
business:content,id,bigint
business:content,created_at,timestamp with time zone
business:content,user input,text
business:content,user_id,text
business:content,content_type,text
business:content,platform,text
business:content,posting_frequency,text
business:content,content_pieces_created,integer
business:content,engagement_rate,numeric
business:content,follower_count,integer
business:content,reach_impressions,integer
business:content,click_through_rate,numeric
business:content,conversion_to_lead,numeric
business:content,content_production_hours,numeric
business:content,batch_creation_efficiency,integer
business:content,repurposing_ratio,numeric
business:content,trending_content_topics,ARRAY
business:content,audience_feedback_sentiment,text
business:content,monetization_methods,ARRAY
business:content,revenue_per_thousand_views,numeric
business:content,confidence_level,numeric
business:content,emotional_signals,text
business:ecommerce,id,bigint
business:ecommerce,created_at,timestamp with time zone
business:ecommerce,user input,text
business:ecommerce,user_id,text
business:ecommerce,product_category,text
business:ecommerce,inventory_count,integer
business:ecommerce,products_listed,integer
business:ecommerce,conversion_rate,numeric
business:ecommerce,average_order_value,numeric
business:ecommerce,cart_abandonment_rate,numeric
business:ecommerce,return_rate,numeric
business:ecommerce,fulfillment_time_days,integer
business:ecommerce,customer_acquisition_cost,numeric
business:ecommerce,lifetime_value,numeric
business:ecommerce,traffic_sources,ARRAY
business:ecommerce,bestselling_product,text
business:ecommerce,inventory_turnover_rate,numeric
business:ecommerce,seasonal_patterns,text
business:ecommerce,supplier_reliability,integer
business:ecommerce,shipping_cost_percentage,numeric
business:ecommerce,confidence_level,numeric
business:ecommerce,emotional_signals,text
business:finance,id,bigint
business:finance,created_at,timestamp with time zone
business:finance,user input,text
business:finance,user_id,text
business:finance,gross_revenue,numeric
business:finance,net_revenue,numeric
business:finance,gross_margin_percentage,numeric
business:finance,operating_expenses,numeric
business:finance,cash_flow,numeric
business:finance,runway_months,numeric
business:finance,burn_rate,numeric
business:finance,customer_acquisition_cost,numeric
business:finance,lifetime_value,numeric
business:finance,payback_period_months,numeric
business:finance,revenue_growth_rate,numeric
business:finance,expense_categories,jsonb
business:finance,tax_preparation_status,text
business:finance,financial_forecasting_accuracy,integer
business:finance,invoice_collection_rate,numeric
business:finance,emergency_fund_months,numeric
business:finance,investment_in_growth,numeric
business:finance,profitability_timeline,text
business:finance,financial_tracking_frequency,text
business:finance,confidence_level,numeric
business:finance,emotional_signals,text
business:models,id,bigint
business:models,user_id,text
business:models,business_type,text
business:models,revenue_model,text
business:models,primary_channels,ARRAY
business:models,target_market,text
business:models,monthly_revenue_range,text
business:models,business_stage,text
business:models,team_size,integer
business:models,confidence_level,numeric
business:models,emotional_signals,text
business:models,created_at,timestamp with time zone
business:models,updated_at,timestamp with time zone
business:networking,id,bigint
business:networking,created_at,timestamp with time zone
business:networking,user input,text
business:networking,user_id,text
business:networking,contact_type,text
